TIMESTAMP,TECHNOLOGIES,availabilityFactor
3854,Hydro Water Reservoir,0.9327157484154072
3854,Nuclear,0.6975289086012989
3855,Fossil Gas,0.8902153558052435
3855,Fossil Hard coal,0.36436436436436437
3855,Fossil Oil,0.5129606277147261
3855,Hydro Water Reservoir,0.9327157484154072
3855,Nuclear,0.6975289086012989
3856,Fossil Gas,0.8902153558052435
3856,Fossil Hard coal,0.36436436436436437
3856,Fossil Oil,0.5129606277147261
3856,Hydro Water Reservoir,0.9327157484154072
3856,Nuclear,0.6975289086012989
3857,Fossil Gas,0.8902153558052435
3857,Fossil Hard coal,0.36436436436436437
3857,Fossil Oil,0.5129606277147261
3857,Hydro Water Reservoir,0.9327157484154072
3857,Nuclear,0.6975289086012989
3858,Fossil Gas,0.8902153558052435
3858,Fossil Hard coal,0.36436436436436437
3858,Fossil Oil,0.5129606277147261
3858,Hydro Water Reservoir,0.9327157484154072
3858,Nuclear,0.6975289086012989
3859,Fossil Gas,0.8902153558052435
3859,Fossil Hard coal,0.36436436436436437
3859,Fossil Oil,0.5129606277147261
3859,Hydro Water Reservoir,0.9327157484154072
3859,Nuclear,0.6975289086012989
3860,Fossil Gas,0.8902153558052435
3860,Fossil Hard coal,0.36436436436436437
3860,Fossil Oil,0.5129606277147261
3860,Hydro Water Reservoir,0.9327157484154072
3860,Nuclear,0.6975289086012989
3861,Fossil Gas,0.8902153558052435
3861,Fossil Hard coal,0.36436436436436437
3861,Fossil Oil,0.5129606277147261
3861,Hydro Water Reservoir,0.9327157484154072
3861,Nuclear,0.7075875178203707
3862,Fossil Gas,0.8902153558052435
3862,Fossil Hard coal,0.36436436436436437
3862,Fossil Oil,0.5129606277147261
3862,Hydro Water Reservoir,0.9327157484154072
3862,Nuclear,0.7075875178203707
3863,Fossil Gas,0.8902153558052435
3863,Fossil Hard coal,0.36436436436436437
3863,Fossil Oil,0.5129606277147261
3863,Hydro Water Reservoir,0.9327157484154072
3863,Nuclear,0.7075875178203707
3864,Fossil Gas,0.8902153558052435
3864,Fossil Hard coal,0.4194194194194194
3864,Fossil Oil,0.5129606277147261
3864,Hydro Water Reservoir,0.9327157484154072
3864,Nuclear,0.7025978140345319
3865,Fossil Gas,0.8902153558052435
3865,Fossil Hard coal,0.4194194194194194
3865,Fossil Oil,0.5129606277147261
3865,Hydro Water Reservoir,0.9327157484154072
3865,Nuclear,0.7025978140345319
3866,Fossil Gas,0.8902153558052435
3866,Fossil Hard coal,0.4194194194194194
3866,Fossil Oil,0.5129606277147261
3866,Hydro Water Reservoir,0.9327157484154072
3866,Nuclear,0.6909551718675748
3867,Fossil Gas,0.8902153558052435
3867,Fossil Hard coal,0.4194194194194194
3867,Fossil Oil,0.5129606277147261
3867,Hydro Water Reservoir,0.9327157484154072
3867,Nuclear,0.6909551718675748
3868,Fossil Gas,0.8902153558052435
3868,Fossil Hard coal,0.4194194194194194
3868,Fossil Oil,0.5129606277147261
3868,Hydro Water Reservoir,0.9327157484154072
3868,Nuclear,0.674322825914779
3869,Fossil Gas,0.8902153558052435
3869,Fossil Hard coal,0.4194194194194194
3869,Fossil Oil,0.5129606277147261
3869,Hydro Water Reservoir,0.9327157484154072
3869,Nuclear,0.6793125297006177
3870,Fossil Gas,0.8902153558052435
3870,Fossil Hard coal,0.4194194194194194
3870,Fossil Oil,0.5129606277147261
3870,Hydro Water Reservoir,0.9327157484154072
3870,Nuclear,0.6959448756534136
3871,Fossil Gas,0.8902153558052435
3871,Fossil Hard coal,0.4194194194194194
3871,Fossil Oil,0.5129606277147261
3871,Hydro Water Reservoir,0.9327157484154072
3871,Nuclear,0.7075875178203707
3872,Fossil Gas,0.8902153558052435
3872,Fossil Hard coal,0.4194194194194194
3872,Fossil Oil,0.5129606277147261
3872,Hydro Water Reservoir,0.9327157484154072
3872,Nuclear,0.7075875178203707
3873,Fossil Gas,0.8902153558052435
3873,Fossil Hard coal,0.4194194194194194
3873,Fossil Oil,0.5129606277147261
3873,Hydro Water Reservoir,0.9327157484154072
3873,Nuclear,0.7075875178203707
3874,Fossil Gas,0.8954822097378277
3874,Fossil Hard coal,0.4194194194194194
3874,Fossil Oil,0.5129606277147261
